source_idx,target_idx,weight,source_type,target_type
0,23,0.421416,PN_TAI,KC_cluster_3
0,31,0.170825,PN_TAI,KC_cluster_11
0,32,0.397812,PN_TAI,KC_cluster_12
0,44,0.150550,PN_TAI,KC_cluster_24
0,53,0.360712,PN_TAI,KC_cluster_33
0,57,0.140465,PN_TAI,KC_cluster_37
0,63,0.418904,PN_TAI,KC_cluster_43
0,64,0.161531,PN_TAI,KC_cluster_44
0,67,0.266703,PN_TAI,KC_cluster_47
0,73,0.270018,PN_TAI,MBON_alpha3
0,74,-0.270018,PN_TAI,MBON_gamma5beta2a
1,21,0.208046,PN_AFPR,KC_cluster_1
1,22,0.192688,PN_AFPR,KC_cluster_2
1,41,0.343681,PN_AFPR,KC_cluster_21
1,44,0.696559,PN_AFPR,KC_cluster_24
1,52,0.377438,PN_AFPR,KC_cluster_32
1,66,0.692758,PN_AFPR,KC_cluster_46
1,73,0.254127,PN_AFPR,MBON_alpha3
1,74,-0.254127,PN_AFPR,MBON_gamma5beta2a
2,20,0.585320,PN_SED,KC_cluster_0
2,27,0.247068,PN_SED,KC_cluster_7
2,34,0.391586,PN_SED,KC_cluster_14
2,40,0.191550,PN_SED,KC_cluster_20
2,45,0.255992,PN_SED,KC_cluster_25
2,48,0.107827,PN_SED,KC_cluster_28
2,50,0.286530,PN_SED,KC_cluster_30
2,51,0.201273,PN_SED,KC_cluster_31
2,52,0.452857,PN_SED,KC_cluster_32
2,56,0.229804,PN_SED,KC_cluster_36
2,64,0.225730,PN_SED,KC_cluster_44
2,69,0.097389,PN_SED,KC_cluster_49
2,73,0.169685,PN_SED,MBON_alpha3
2,74,-0.169685,PN_SED,MBON_gamma5beta2a
3,21,0.100614,PN_VSD,KC_cluster_1
3,29,0.472440,PN_VSD,KC_cluster_9
3,37,0.095459,PN_VSD,KC_cluster_17
3,41,0.096105,PN_VSD,KC_cluster_21
3,56,0.193861,PN_VSD,KC_cluster_36
3,57,0.353277,PN_VSD,KC_cluster_37
3,61,0.493060,PN_VSD,KC_cluster_41
3,62,0.480196,PN_VSD,KC_cluster_42
3,73,0.408854,PN_VSD,MBON_alpha3
3,74,-0.408854,PN_VSD,MBON_gamma5beta2a
4,21,0.139525,PN_DGW,KC_cluster_1
4,31,0.188401,PN_DGW,KC_cluster_11
4,33,0.211415,PN_DGW,KC_cluster_13
4,34,0.265305,PN_DGW,KC_cluster_14
4,37,0.138821,PN_DGW,KC_cluster_17
4,49,0.603779,PN_DGW,KC_cluster_29
4,58,0.185590,PN_DGW,KC_cluster_38
4,63,0.282326,PN_DGW,KC_cluster_43
4,66,0.244570,PN_DGW,KC_cluster_46
4,69,0.160675,PN_DGW,KC_cluster_49
4,73,0.327784,PN_DGW,MBON_alpha3
4,74,-0.327784,PN_DGW,MBON_gamma5beta2a
5,29,0.092990,PN_LCS,KC_cluster_9
5,31,0.163138,PN_LCS,KC_cluster_11
5,47,0.634333,PN_LCS,KC_cluster_27
5,54,0.245753,PN_LCS,KC_cluster_34
5,56,0.784740,PN_LCS,KC_cluster_36
5,60,0.444314,PN_LCS,KC_cluster_40
5,61,0.275291,PN_LCS,KC_cluster_41
5,63,0.311694,PN_LCS,KC_cluster_43
5,64,0.595878,PN_LCS,KC_cluster_44
5,69,0.188282,PN_LCS,KC_cluster_49
5,73,0.204842,PN_LCS,MBON_alpha3
5,74,-0.204842,PN_LCS,MBON_gamma5beta2a
6,28,0.195517,PN_BAR,KC_cluster_8
6,36,0.304757,PN_BAR,KC_cluster_16
6,42,0.351848,PN_BAR,KC_cluster_22
6,45,0.832105,PN_BAR,KC_cluster_25
6,60,0.589281,PN_BAR,KC_cluster_40
6,65,0.623555,PN_BAR,KC_cluster_45
6,73,0.449793,PN_BAR,MBON_alpha3
6,74,-0.449793,PN_BAR,MBON_gamma5beta2a
7,28,0.468895,PN_HRDD,KC_cluster_8
7,30,0.726387,PN_HRDD,KC_cluster_10
7,43,0.160127,PN_HRDD,KC_cluster_23
7,46,0.168050,PN_HRDD,KC_cluster_26
7,54,0.371994,PN_HRDD,KC_cluster_34
7,55,0.134645,PN_HRDD,KC_cluster_35
7,56,0.264671,PN_HRDD,KC_cluster_36
7,61,0.221288,PN_HRDD,KC_cluster_41
7,66,0.214731,PN_HRDD,KC_cluster_46
7,68,0.524066,PN_HRDD,KC_cluster_48
7,73,0.483198,PN_HRDD,MBON_alpha3
7,74,-0.483198,PN_HRDD,MBON_gamma5beta2a
8,25,0.244447,PN_SHRP,KC_cluster_5
8,32,0.133770,PN_SHRP,KC_cluster_12
8,36,0.198257,PN_SHRP,KC_cluster_16
8,37,0.260070,PN_SHRP,KC_cluster_17
8,42,0.275518,PN_SHRP,KC_cluster_22
8,46,0.070152,PN_SHRP,KC_cluster_26
8,57,0.129657,PN_SHRP,KC_cluster_37
8,64,0.330657,PN_SHRP,KC_cluster_44
8,67,0.262517,PN_SHRP,KC_cluster_47
8,73,0.343366,PN_SHRP,MBON_alpha3
8,74,-0.343366,PN_SHRP,MBON_gamma5beta2a
9,26,0.202809,PN_GCDV,KC_cluster_6
9,32,0.683185,PN_GCDV,KC_cluster_12
9,34,0.143342,PN_GCDV,KC_cluster_14
9,39,0.330123,PN_GCDV,KC_cluster_19
9,43,0.132575,PN_GCDV,KC_cluster_23
9,47,0.382558,PN_GCDV,KC_cluster_27
9,63,0.172904,PN_GCDV,KC_cluster_43
